comuna,pobreza_d,pobreza_ext_d,pobreza_multi_4d,pobreza_multi_5d
1101,.046951476,.013072222,.1993464629515146,.2002336642588573
1107,.083428502,.021107182,.261048788144134,.2817731039302472
1401,.104991,.019406194,.4372493512620901,.4467445152158528
1402,0,0,.5080428954423593,.5227882037533512
1404,.11209863,.068233944,.5450264861683343,.5450264861683343
1405,.11227554,.015076301,.2372705455017189,.2774210287345139
2101,.051268809,.018735219,.1634715140277686,.1699148670633594
2102,.07973168,.059352975,.2370896926615095,.242107463934769
2103,.045649074,0,.0641940085592011,.0641940085592011
2104,.010152863,.0036504676,.2580605463942899,.2580605463942899
2201,.04480176,.0048374906,.1111154829824907,.1316943711661316
2203,.019143788,.0038918692,.1212824765063571,.1220108997886776
2301,.10535828,.042313416,.1990637940346876,.2146254091779383
2302,.041870825,.023162583,.1296209639681797,.1254094525035096
3101,.058592644,.020111529,.1929501906344706,.233505708361438
3102,.14235018,.057381988,.2405274215750199,.2210105416212287
3103,.12805265,.01641294,.2361679045314195,.3088715757728072
3201,.15717965,0,.1514015187025405,.2723922902494331
3202,.068733975,.024050787,.1232999743392353,.1804998057749579
3301,.081637383,.030758889,.2204790448703717,.2203385611152602
3302,.078444593,.0069678579,.2432974191931847,.3297419193184665
3303,.17704518,.098377816,.3032280825542424,.3655514250309789
3304,.076672316,.024775069,.1443077803203661,.1540175256200802
4101,.10378677,.037480865,.1888542325561105,.2040234651209484
4102,.13684201,.035849128,.1657318115366763,.1863624644400649
4103,.1701052,0,.2123598909421388,.2603174603174603
4104,.21346514,.12156025,.4301533219761499,.455217514927495
4105,.14606741,0,.1816550796142633,.2574568288854003
4106,.12208088,.017543193,.1642145414915149,.2273081114743889
4201,.1111443,.011051374,.2406945380984491,.2331085637221847
4202,.27109835,.053481057,.4560409178877523,.5036081043574798
4203,.16564849,.0014596962,.3408730809156969,.3549691307435939
4204,.12700343,.053902619,.280143329145144,.2944297082228117
4301,.051897127,.0088596372,.2181955146531616,.2530574191543425
4302,.16065161,.099630997,.2773292207203121,.3504749112539576
4303,.22026502,.037835971,.1991128459900639,.3106458481192335
4304,.28102821,.066180699,.318377321603128,.4609413383118797
4305,.098492466,.036934674,.4856418918918919,.5019707207207207
5101,.067355774,.0098936399,.1736313133803396,.1916361161003535
5102,.090660311,.0085628536,.0884327004474544,.1062099407425323
5103,.021096839,0,.1812068501748408,.1976694996731146
5105,.068052821,.036358528,.2572449155960131,.2977473065621939
5107,.042199075,0,.2424905660377359,.2760070320262937
5109,.047762427,.014177279,.1431975457321003,.1703538507285162
5301,.063447535,.034273911,.1096147105610828,.1117790924865758
5302,.19892919,.055847872,.1166986564299424,.1242787394584998
5303,.10618532,.022224836,.191674733785092,.2106727976766699
5304,.11563215,.020637199,.0329461693098057,.0385825369501989
5401,.2004796,.023430085,.2497061023832425,.2501957184893232
5402,.1680586,.0064386693,.2034268356352936,.2165741136266553
5403,.0947835,.017047392,.1256754401255011,.1256754401255011
5404,.075633772,0,.1549245147375989,.1549245147375989
5405,.012785159,0,.2849084983705189,.3656319002467853
5501,.099954769,.028110899,.1731032067863234,.1947423037011415
5502,.15630063,.043072596,.1946102894474186,.2093095000453679
5503,.073001392,.035806388,.3708732832339984,.3800984711065043
5504,.085951358,.011788269,.217999880874382,.2458157126690095
5506,.059269194,0,.4427367007386406,.4978736103857345
5601,.079483218,.017009646,.1713547790607696,.1828121361827919
5602,.020697923,0,.0676019575856444,.0873440285204991
5603,.059548527,0,.0891484783276975,.1485938204390193
5604,.019125683,.019125683,.2044451450189155,.2100745059928733
5605,.048047222,0,.0137277781591049,.058205779394605
5606,.034472145,0,.1336538461538462,.1462606837606838
5701,.089880019,.023995448,.1751403082326889,.2047083301225245
5702,.17868315,.027037092,.1805774692331966,.1821636481241915
5703,.060456559,.014800569,.2968208463480382,.3088870822814599
5704,.098046727,.012766501,.22163418097328,.2107912740415645
5705,.091652565,.01641286,.3876359242851389,.4172167025637463
5706,.13555424,0,.0939222614840989,.0825228625344752
5801,.05186316,.013570823,.1054206315934555,.1124256949999137
5802,.0464091,.0024067133,.2882186575703275,.3080355190061677
5803,.053519454,0,.2484656871861633,.2723947678383237
5804,.036313288,.017242281,.1427857380873042,.154380805988104
6101,.10408273,.023473075,.1273012888407574,.1293190945673243
6102,.051852971,0,.101465785676312,.1229589124325966
6103,.17676634,.033209845,.2971118101229626,.3889047755218759
6104,.15538959,.047486346,.1611527967257844,.1881142328592901
6105,.066156946,.010896438,.129107092131427,.1394280844616987
6106,.066646345,.0068292683,.1831410552222735,.18627903399477
6107,.15308642,.036479492,.1407343376965506,.1548400498545908
6108,.073424503,.031831879,.2114334653677336,.2158227170538486
6109,.10514335,.014298926,.1704190118824265,.1775068816358631
6110,.094021298,.041650556,.2273720060711509,.2756820789990005
6111,.066698819,.0081995456,.2805765562071645,.2968275277326362
6112,.13503112,.036051061,.2332413881583168,.2453959484346225
6113,.16932794,0,.1751775623412307,.259785369899943
6114,.1471412,.020596474,.3093209398399174,.3454017590299718
6115,.11013047,.014194595,.125822780715799,.1414665592264303
6116,.061327983,0,.2554988433150956,.3109462784122204
6117,.060533993,.015887925,.1542220847510053,.1909648773744947
6201,.010925449,0,.2459812348271111,.2829866806639984
6202,.16186072,.023122959,.2060755336617406,.2484948002189382
6203,.10374746,.013476094,.210972850678733,.210972850678733
6204,.038546797,.014778325,.1307980049875312,.1498730964467005
6205,.13095018,.058158919,.4063918305597579,.4928139183055976
6206,.15754858,.031240657,.2005979073243647,.2548250904704463
6301,.10311587,.04018284,.1837740562173487,.1889958586564836
6302,.091425158,.017478339,.3163814180929095,.3139954113405441
6303,.15889291,.014566851,.1976462551235871,.2007712324043013
6304,.1420003,0,.1444316499424247,.187117072362974
6305,.11488573,.054859903,.0938254570541566,.1040747927324043
6306,.070400953,0,.2657700650759219,.3039301310043668
6307,.059016392,.0093676811,.1588681152097019,.160686905857099
6308,.23029166,.05095467,.1708122126606154,.1708122126606154
6309,.11483254,0,.0951008645533141,.1289147851420248
6310,.045330845,.0054962649,.1399605820891493,.1533036779863296
7101,.076100916,.018115297,.1654233144218412,.1699086829882705
7102,.063399173,.0044240081,.1801009347123005,.205530084941536
