region_id,region_nombre,comuna_id,comuna_nombre,candidato,votos_preliminar,total_votos,p_votos
3005,DE VALPARAISO,2548,ISLA DE PASCUA,Votos Blancos,73,3027,.024116287
3005,DE VALPARAISO,2548,ISLA DE PASCUA,Votos Nulos,60,3027,.019821605
3005,DE VALPARAISO,2548,ISLA DE PASCUA,YASNA PROVOSTE CAMPILLAY,352,3027,.11628675
3005,DE VALPARAISO,2549,LOS ANDES,EDUARDO ARTES BRICHETTI,330,29497,.011187579
3005,DE VALPARAISO,2549,LOS ANDES,FRANCO PARISI FERNANDEZ,5366,29497,.1819168
3005,DE VALPARAISO,2549,LOS ANDES,GABRIEL BORIC FONT,7177,29497,.24331288
3005,DE VALPARAISO,2549,LOS ANDES,JOSE ANTONIO KAST RIST,7144,29497,.24219412
3005,DE VALPARAISO,2549,LOS ANDES,MARCO ENRIQUEZ-OMINAMI GUMUCIO,2268,29497,.076889172
3005,DE VALPARAISO,2549,LOS ANDES,SEBASTIAN SICHEL RAMIREZ,3590,29497,.12170729
3005,DE VALPARAISO,2549,LOS ANDES,Total Sufragios Emitidos,29497,29497,1
3005,DE VALPARAISO,2549,LOS ANDES,Total Suma Calculada,29497,29497,1
3005,DE VALPARAISO,2549,LOS ANDES,Votos Blancos,124,29497,.0042038173
3005,DE VALPARAISO,2549,LOS ANDES,Votos Nulos,279,29497,.0094585894
3005,DE VALPARAISO,2549,LOS ANDES,YASNA PROVOSTE CAMPILLAY,3241,29497,.10987558
3005,DE VALPARAISO,2550,CALLE LARGA,EDUARDO ARTES BRICHETTI,91,6439,.014132629
3005,DE VALPARAISO,2550,CALLE LARGA,FRANCO PARISI FERNANDEZ,1243,6439,.1930424
3005,DE VALPARAISO,2550,CALLE LARGA,GABRIEL BORIC FONT,1304,6439,.20251592
3005,DE VALPARAISO,2550,CALLE LARGA,JOSE ANTONIO KAST RIST,1365,6439,.21198943
3005,DE VALPARAISO,2550,CALLE LARGA,MARCO ENRIQUEZ-OMINAMI GUMUCIO,620,6439,.096288241
3005,DE VALPARAISO,2550,CALLE LARGA,SEBASTIAN SICHEL RAMIREZ,736,6439,.11430346
3005,DE VALPARAISO,2550,CALLE LARGA,Total Sufragios Emitidos,6439,6439,1
3005,DE VALPARAISO,2550,CALLE LARGA,Total Suma Calculada,6439,6439,1
3005,DE VALPARAISO,2550,CALLE LARGA,Votos Blancos,40,6439,.0062121446
3005,DE VALPARAISO,2550,CALLE LARGA,Votos Nulos,98,6439,.015219755
3005,DE VALPARAISO,2550,CALLE LARGA,YASNA PROVOSTE CAMPILLAY,942,6439,.14629601
3005,DE VALPARAISO,2551,RINCONADA,EDUARDO ARTES BRICHETTI,63,5217,.012075906
3005,DE VALPARAISO,2551,RINCONADA,FRANCO PARISI FERNANDEZ,863,5217,.16542074
3005,DE VALPARAISO,2551,RINCONADA,GABRIEL BORIC FONT,1097,5217,.2102741
3005,DE VALPARAISO,2551,RINCONADA,JOSE ANTONIO KAST RIST,1389,5217,.26624498
